Entity,Code,Year,European Union and United Kingdom,China,United States,World
AI ventures,,2017,34720055,233168581,404163765,705626292
AI ventures,,2018,30321937,591347599,857474812,1539250299
AI ventures,,2019,15388467,93042361,962517568,1212544984
AI ventures,,2020,5170265,91954563,1358836062,1545821073
AI ventures,,2021,1013359242,258977775,923024967,2379370717
AI ventures,,2022,14814431,451988999,641729703,1242838005
Agricultural technology,,2017,7554717,10391318,261846503,309478503
Agricultural technology,,2018,33194058,0,194254290,280024054
Agricultural technology,,2019,116117865,18018197,283437548,502672339
Agricultural technology,,2020,25459779,7959031,624487776,686735808
Agricultural technology,,2021,469886955,0,838525337,1351178581
Agricultural technology,,2022,76739673,95402811,509921645,810137282
Augmented or virtual reality,,2017,28642184,156899836,107616472,313686338
Augmented or virtual reality,,2018,12374424,84634037,128817829,275692462
Augmented or virtual reality,,2019,26381135,144117027,1828406138,2010578008
Augmented or virtual reality,,2020,5170265,0,473757808,604180040
Augmented or virtual reality,,2021,30000000,61833873,546899354,642504609
Augmented or virtual reality,,2022,60016045,13332988,1912898173,2214330335
Cybersecurity,,2017,211647287,799646679,895792147,2477972877
Cybersecurity,,2018,172523985,583572923,1918326970,4071620825
Cybersecurity,,2019,161192831,1962121344,1713555083,4110878261
Cybersecurity,,2020,352707616,519832488,2821490011,3798115473
Cybersecurity,,2021,85748120,1063167893,2810270650,4077164559
Cybersecurity,,2022,217439686,992985857,3578690067,4978670210
Data management,,2017,275908858,1069262050,2301763527,4009032159
Data management,,2018,183793071,1671044273,3132928239,5281227419
Data management,,2019,227069721,1136812833,4196778524,6724363615
Data management,,2020,323175209,1277545545,4627080938,6662235896
Data management,,2021,1242036553,2134058648,5486092409,9309790185
Data management,,2022,219221105,1727359990,2894398654,5423724972
Drones,,2017,2847899,0,70120469,83470232
Drones,,2018,23039043,3104257,215519404,287005367
Drones,,2019,43125635,15898409,32483547,164010526
Drones,,2020,12558964,0,83082266,316193385
Drones,,2021,0,30800000,414659796,613408194
Drones,,2022,39090208,25925254,1483572636,1745272701
Educational technology,,2017,8637220,764438512,183952189,1444291271
Educational technology,,2018,19248138,2909290633,595069470,4956758378
Educational technology,,2019,23083884,437126557,361680101,902436750
Educational technology,,2020,19421409,6283423613,1396218278,7730032651
Educational technology,,2021,125213979,704513879,562549144,1710971434
Educational technology,,2022,95099978,12027466,111497296,344161272
"Energy, oil and gas",,2017,55211067,82816899,440540848,625514140
"Energy, oil and gas",,2018,97459505,1120550870,1938496184,3354894612
"Energy, oil and gas",,2019,73672846,612580549,789873782,1694145415
"Energy, oil and gas",,2020,35185995,628440728,2013948995,2810505321
"Energy, oil and gas",,2021,147372877,177530435,1269212622,1865601123
"Energy, oil and gas",,2022,185258640,319406209,745179209,1487149762
Entertainment,,2017,219675849,281439986,305960521,923252885
Entertainment,,2018,12612637,290916285,196439281,632851383
Entertainment,,2019,129249689,155637340,791377101,1286023888
Entertainment,,2020,41698546,354295053,147851041,786408557
Entertainment,,2021,8809598,174251955,3182263442,3739408050
Entertainment,,2022,160331685,170547096,431472870,804408782
Facial recognition,,2017,33163782,98359492,20450999,151974274
Facial recognition,,2018,0,1043700346,37956117,1135611536
Facial recognition,,2019,63864640,27824438,63198100,239606737
Facial recognition,,2020,104872209,282064476,41691616,428628301
Facial recognition,,2021,0,0,6100000,406100000
Facial recognition,,2022,0,0,62498395,62498395
Financial technology,,2017,220566399,1503433470,427876788,2344769845
Financial technology,,2018,223428044,2468722003,1369445756,4625875596
Financial technology,,2019,332120920,2585267898,3965148753,7472621947
Financial technology,,2020,690423903,865858812,1564548827,3269791558
Financial technology,,2021,503174637,457814027,5209476610,7133528041
Financial technology,,2022,868080225,30369583,2991720037,5114007205
Fitness and wellness,,2017,39285906,18675946,244551400,362743638
Fitness and wellness,,2018,56966666,667611357,215396355,1136678306
Fitness and wellness,,2019,46484432,643924687,137970686,868776525
Fitness and wellness,,2020,94912422,649868360,205021454,992989803
Fitness and wellness,,2021,82264699,50671554,616656963,783229694
Fitness and wellness,,2022,129626269,0,211475994,487005579
Geospatial,,2017,76866016,76700874,211466257,395927816
Geospatial,,2018,103650269,103327912,722532866,980883111
Geospatial,,2019,106600775,72503697,251830534,539553638
Geospatial,,2020,80955227,22733717,495691335,648588273
Geospatial,,2021,12748743,162173139,855649975,1041059868
Geospatial,,2022,6343098,27262708,506111231,661432857
Human Resources technology,,2017,31312804,0,295509452,351127133
